Title,Release Date,Game Score,Developer,Publisher,Genre,Image URL
Resident Evil 4,"Mar 24, 2023",93,Capcom,Capcom,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/3/4/9/2/565525-873492.jpg
MindSeize,"Feb 7, 2020",74,Kamina Dimension,First Press Games,2D,https://www.gamespot.com/a/uploads/scale_tiny/box/7/4/5/9/483810-677459.jpg
Eiyuden Chronicle: Hundred Heroes,"Apr 21, 2024",79,Rabbit & Bear Studios,505 Games,Role-Playing,https://www.gamespot.com/a/uploads/scale_tiny/box/1/2/5/3/516194-761253.jpg
Forza Horizon 5,"Nov 5, 2021",92,PLAYGROUND,Xbox Game Studios,Simulation,https://www.gamespot.com/a/uploads/scale_tiny/box/3/5/3/0/533238-803530.jpg
Sable,"Sep 23, 2021",76,Shed-Works,Raw Fury,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/6/1/483366-676061.jpg
Prince of Persia: The Lost Crown,"Jan 15, 2024",86,Ubisoft Montpellier,Ubisoft,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/1/6/0/9/590624-941609.jpg
Fight Crab,"Jul 29, 2020",60,Calappa Games,Nussoft,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/2/479392-665772.jpg
Animal Crossing: New Horizons,"Mar 20, 2020",90,Nintendo,Nintendo,Simulation,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3549399-cq5dam.thumbnail.319.319.png
Dragon Ball Z: Kakarot,"Jan 17, 2020",73,CyberConnect2,Bandai Namco Games,Action,https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/4/5/491984-716045.jpg
Oddworld: Soulstorm,"Apr 6, 2021",67,Oddworld Inhabitants,Microids,Action,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3537139-oddworld_soulstorm_logo.gif
Crash Bandicoot 4: It's About Time,"Oct 2, 2020",85,Toys for Bob,Activision,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/7/1/1/3/514271-757113.jpg
Chinatown Detective Agency,"Apr 7, 2022",66,General Interactive Co.,Humble Games,Adventure,https://www.gamespot.com/a/uploads/scale_tiny/box/9/2/5/3/503204-729253.jpg
Fire Emblem Warriors: Three Hopes,"Jun 24, 2022",80,Koei Tecmo Games,Nintendo,3D,https://www.gamespot.com/a/uploads/scale_tiny/box/2/3/9/9/557730-852399.jpg
