Title,Release Date,Score,Developer,Publisher,Genre,Platforms,Image URL
Chinatown Detective Agency,"Apr 7, 2022",66,General Interactive Co.,Humble Games,Adventure,"PC, Nintendo Switch",/public/game_images/Chinatown_Detective_Agency.jpg
Animal Crossing: New Horizons,"Mar 20, 2020",90,Nintendo,Nintendo,Simulation,Nintendo Switch,
Oddworld: Soulstorm,"Apr 6, 2021",67,Oddworld Inhabitants,Microids,Action,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
MindSeize,"Feb 7, 2020",74,Kamina Dimension,First Press Games,2D,"PC, Nintendo Switch",/public/game_images/MindSeize.jpg
Mario Party Superstars,"Oct 29, 2021",80,Nd Cube,Nintendo,Party/Minigame,Nintendo Switch,/public/game_images/Mario_Party_Superstars.jpg
Fire Emblem Warriors: Three Hopes,"Jun 24, 2022",80,Koei Tecmo Games,Nintendo,3D,Nintendo Switch,
Life is Strange,"Feb 1, 2022",85,Feral Interactive,Square Enix,Action,PC,/public/game_images/Life_is_Strange.jpg
Fight Crab,"Jul 29, 2020",60,Calappa Games,Nussoft,Action,"PC, Nintendo Switch",/public/game_images/Fight_Crab.jpg
Eiyuden Chronicle: Hundred Heroes,"Apr 21, 2024",79,Rabbit & Bear Studios,505 Games,Role-Playing,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
WWE 2K23,"Mar 14, 2023",82,Visual Concepts,2K Games,Action,"PC, PlayStation 5, Xbox Series X",/public/game_images/WWE_2K23.jpg
Dragon Ball Z: Kakarot,"Jan 17, 2020",73,CyberConnect2,Bandai Namco Games,Action,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Super Monkey Ball: Banana Mania,"Oct 2, 2021",76,Sega,Sega,Compilation,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",
Prince of Persia: The Lost Crown,"Jan 15, 2024",86,Ubisoft Montpellier,Ubisoft,Action,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Cyber Shadow,"Jan 26, 2021",82,"Aarne ""MekaSkull"" Hunziker",Yacht Club Games,Platformer,"PC, Nintendo Switch, PlayStation 5",/public/game_images/Cyber_Shadow.jpg
The Dark Pictures Anthology: Little Hope,"Oct 30, 2020",71,SuperMassive Games,Bandai Namco Games,Third-Person,"Nintendo Switch, PC, PlayStation 5",
Sable,"Sep 23, 2021",76,Shed-Works,Raw Fury,Adventure,"PC, PlayStation 5, Xbox Series X",/public/game_images/Sable.jpg
Super Mario Bros. 35,"Oct 1, 2020",75,Nintendo,Nintendo,2D,Nintendo Switch,/public/game_images/Super_Mario_Bros._35.jpg
Forza Horizon 5,"Nov 5, 2021",92,PLAYGROUND,Xbox Game Studios,Simulation,"PC, Xbox Series X",/public/game_images/Forza_Horizon_5.jpg
Pokemon UNITE,"Jul 21, 2021",70,TiMi Studios,The Pokemon Company,MOBA,Nintendo Switch,/public/game_images/Pokemon_UNITE.jpg
Road 96,"Aug 16, 2021",79,Digixart Entertainment,Digixart Entertainment,First-Person,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Road_96.jpg
Destroy All Humans!,"Jul 28, 2020",70,Black Forest Games,THQ Nordic,Adventure,"PC, Nintendo Switch",/public/game_images/Destroy_All_Humans!.jpg
FIFA 23,"Sep 27, 2022",76,EA Canada,Electronic Arts,Simulation,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/FIFA_23.jpg
Disc Room,"Oct 22, 2020",83,Terri,Devolver Digital,Puzzle,"PC, Nintendo Switch",/public/game_images/Disc_Room.jpg
Tunic,"Mar 16, 2022",85,Andrew Shouldice,Finji,Action,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Tunic.jpg
I Am Dead,"Oct 8, 2020",79,Hollow Ponds,Annapurna Interactive,Adventure,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/I_Am_Dead.jpg
Returnal,"Apr 30, 2021",86,Housemarque,Sony Interactive Entertainment,Third-Person,"PC, PlayStation 5",/public/game_images/Returnal.jpg
Ghostbusters: Spirits Unleashed,"Oct 18, 2022",68,IllFonic,IllFonic,Adventure,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
The Forgotten City,"Jul 28, 2021",85,Modern Storyteller,Ubitus,Adventure,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/The_Forgotten_City.jpg
Blasphemous 2,"Aug 24, 2023",84,The Game Kitchen,Team 17,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Blasphemous_2.jpg
Cursed to Golf,"Aug 18, 2022",80,Chuhai Labs,Thunderful,Golf,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/Cursed_to_Golf.jpg
The King of Fighters XV,"Feb 14, 2022",79,SNK Corporation,SNK Corporation,2D,"PC, PlayStation 5, Xbox Series X",/public/game_images/The_King_of_Fighters_XV.jpg
Kirby and the Forgotten Land,"Mar 25, 2022",85,HAL Labs,Nintendo,Platformer,Nintendo Switch,/public/game_images/Kirby_and_the_Forgotten_Land.jpg
Sherlock Holmes: Chapter One,"Nov 16, 2021",69,Frogwares,Frogwares,3D,"PC, PlayStation 5, Xbox Series X",
